w1 (rad/s),w2 (rad/s),w3 (rad/s),G3 (Pa),eta3 (Pa s3),J3 (Pa-3),phi3 (Pa-3 s-1),Subspace,"[R,G,B]"
1.44,-1.44,1.44,,,,,D,"[0.0, 0.0, 1.0]"
0.8,0.8,0.8,(2.393002077219968-2.5351027604457674j),(4.951372578995638+4.673832182070249j),(3.143972812588525e-07-1.664494651596561e-05j),(3.994787163831747e-05+7.545534750212462e-07j),A,"[0.0, 0.0, 1.0]"
0.96,0.8,0.8,(2.188658518840462-2.860246665381477j),(4.655349390269331+3.5622697246752306j),(3.2233293129083257e-07-1.4693412378940647e-05j),(3.7615135690088056e-05+8.251723041045313e-07j),A,"[0.0625, 2.7194799110210365e-16, 0.9375]"
1.44,0.8,0.8,(1.6863531005041694-4.030784080773421j),(4.373680643200326+1.829810221901225j),(4.0878984928379006e-07-1.320245376322922e-05j),(4.013545944021683e-05+1.2427211418227217e-06j),A,"[0.21052631578947364, 0.0, 0.7894736842105262]"
0.96,0.8,0.96,(2.090544349595026-3.4617774487164685j),(4.695336166336356+2.8354822450019346j),(2.259348187380661e-07-1.413702607706294e-05j),(3.845271092961119e-05+6.145427069675397e-07j),A,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
1.44,0.8,0.96,(1.3741157892461364-4.236565375568775j),(3.830806365350816+1.2425092133663704j),(5.361873666717515e-07-1.1586558586066735e-05j),(3.7076987475413554e-05+1.715799573349605e-06j),A,"[0.15, 0.09999999999999998, 0.75]"
1.44,0.8,1.44,(0.582218199249917-5.3447933945772546j),(3.221928888513488+0.35097065444752906j),(9.117126664637828e-07-1.0512476188402295e-05j),(3.868591237332045e-05+3.355102612586721e-06j),A,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
0.96,0.96,0.96,(2.583813740459011-5.042251227503102j),(5.69915910226678+2.9204347290706054j),(8.147821082442929e-07-1.6988517826250186e-05j),(4.892693133960053e-05+2.3465724717435635e-06j),A,"[0.0, 0.0, 1.0]"
1.44,0.96,0.96,(1.16552615828782-4.976862799890975j),(3.750167884273558+0.8782477924019672j),(6.763743094844299e-07-1.1462148363356785e-05j),(3.8512818500878796e-05+2.2726176798676844e-06j),A,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
1.44,0.96,1.44,(0.05310493453082031-5.915837969231065j),(2.9718032493967144+0.02667710268917398j),(7.966915789713681e-07-1.0011346941835778e-05j),(3.8443572256649386e-05+3.0592956632500536e-06j),A,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
1.44,1.44,1.44,(-0.42212495312436127-6.53803314368556j),(2.1895740712895853-0.14136879270765057j),(1.9941322958667396e-06-8.218622894361353e-06j),(3.550445090364105e-05+8.614651518144316e-06j),A,"[0.0, 0.0, 1.0]"
1.28,-5.12,1.28,(1.6166063394661978-4.964778074223704j),(-0.5918476670055036-0.19271449321105452j),(3.4238182556054e-06+4.943919161835593e-06j),(1.2656433054299118e-05-8.764974734349824e-06j),D,"[0.5, 0.0, 0.5]"
1.28,-20.48,1.28,(0.5337155392380967-6.080557672162339j),(-0.18121474004275614-0.0159059625636964j),(5.749669263488632e-06+4.896177868210842e-07j),(8.773950739833829e-06-0.0001030340732017163j),D,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
5.12,-20.48,1.28,(-2.0068180312038035-5.603741604820953j),(-0.04175112847105378+0.014951959484843935j),(3.6077591418513947e-06+9.541005945469139e-07j),(1.3433736371220548e-05-5.0797248717267635e-05j),D,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
1.28,-1.28,1.28,,,,,D,"[0.0, 0.0, 1.0]"
5.12,-1.28,1.28,,,,,C,"[0.5, 0.0, 0.5]"
20.48,-1.28,1.28,,,,,C,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
5.12,-1.28,5.12,(-3.57481210075608+9.394213341099274j),(0.27996937457022886+0.10653770270216702j),(2.9736375707375873e-06-5.9273693323226394e-06j),(5.310922921761086e-05+2.6643792633808786e-05j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,-1.28,5.12,(-1.935268290678718+11.834849608331323j),(0.08817650085934492+0.014418872376372797j),(3.996533463702962e-06-6.3304454183935855e-06j),(0.00015395643257533201+9.719569383725603e-05j),B,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
20.48,-1.28,20.48,(18.956463105478576+27.6519005642806j),(0.051505678453074015-0.03530916404999527j),(3.1744619419062327e-07-2.003046568874275e-05j),(0.0007948088785293123+1.2596264985483931e-05j),B,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
5.12,-20.48,5.12,(-4.72868803804261-5.4037575026926215j),(-0.010065282700010801+0.008807867836286518j),(2.6194918948158627e-06+1.4514596194373974e-06j),(1.486294650303895e-05-2.6823597002914434e-05j),D,"[0.5, 0.0, 0.5]"
5.12,-5.12,1.28,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,-5.12,1.28,(-5.834752267611303-6.308123171003498j),(-0.04699918010088427+0.04347229203292208j),(5.374815544085816e-06+1.775518096257693e-07j),(-2.954462112172801e-06+8.943693065358798e-05j),C,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
5.12,-5.12,5.12,,,,,D,"[0.0, 0.0, 1.0]"
20.48,-5.12,5.12,,,,,C,"[0.5, 0.0, 0.5]"
20.48,-5.12,20.48,(-12.64938567192763+37.71449065761772j),(0.017562178269781972+0.005890329215641892j),(5.464401723499952e-06-1.4751163753329998e-05j),(0.0005286817089193472+0.0001958441577702383j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,-20.48,1.28,,,,,D,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
20.48,-20.48,5.12,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,-20.48,20.48,,,,,D,"[0.0, 0.0, 1.0]"
1.28,1.28,1.28,(0.025806853407209916-5.570773272718991j),(2.656351696357246+0.012305666640858609j),(8.3696500502168e-07-8.894550108344194e-06j),(3.4155072416041704e-05+3.213945619283251e-06j),A,"[0.0, 0.0, 1.0]"
